bbl,address,ownername,property_manager,yearalter,numfloors,unitstotal,total_gross_floor_area,office_sqft,% Leased,LL33 grade,Latest_ENERGY_STAR_Score,Latest_Target_ENERGY_STAR_Score,Estimated_Target_ENERGY_STAR_Score,Class,LandlordContact,GreenRating,neighborhood
1000220020,"42 Broadway, New York, NY 10004",Vornado Realty Trust,The Lawrence Group,1999,21,55,405244,389917,74.4,B,84,,76,A,Brian Siegel (212) 413-8425 (p),,Financial District-Battery Park City
1000220024,"50 Broadway, New York, NY 10004",50 Broadway Realty,Cushman & Wakefield,2003,38,66,300676,279778,99,B,85,,75,B,Stephen Bellwood (212) 318-9785 (p),,Financial District-Battery Park City
1000220028,"52 Broadway, New York, NY 10004",Jack Resnick & Sons,Cushman & Wakefield,2003,19,22,345540,278310,97,C,70,,70,A,Stephen Bellwood (212) 318-9785 (p),,Financial District-Battery Park City
1000240001,"60 Broad St, New York, NY 10004",Piedmont Realty Trust,JLL,2018,39,1,1072213,974984,100,B,74,,77,A,John Wheeler (212) 812-5906 (p),,Financial District-Battery Park City
1000240029,"30 Broad St, New York, NY 10004",Edge Principal Advisors,Newmark,1985,48,1,370000,362072,100,A,91,91,,B,Andrew Peretz (212) 233-8164 (p),,Financial District
1000250001,"55 Broad St, New York, NY 10004",Silverstein Properties,Rudin,2025,30,88,406025,400143,100,N (exempt),63,,60,A,Thomas Keating (212) 407-2481 (p),,Financial District
1000290036,"1 William St, New York, NY 10004",Banca IMI Securities,Cushman & Wakefield,1983,12,4,105000,49250,100,B,73,73,,B,,,Financial District
1000290070,"75 Broad St, New York, NY 10004",JEMB,JEMB,2017,34,96,671172,653245,82.3,A,100,,87,A,Joseph Hamway (917) 414-4961 (p),,Financial District-Battery Park City
1000290073,"44 Beaver St, New York, NY 10004",City of New York,DCAS,1984,12,1,97596,97596,100,C,69,,82,B,,,Midtown
1000330001,"77 Water St, New York, NY 10005",Kaufman Organization,CBRE,2008,26,35,546882,372360.87,100,B,76,75,,A,,,Financial District-Battery Park City
1000390012,"110 Maiden Lane, New York, NY 10005",Rudin,Lalezarian Properties,2007,38,70,1049691,1069367,97,N (exempt),18,,37,A,,,Financial District-Battery Park City
1000400003,"60 Wall St, New York, NY 10005",Paramount Group,CBRE,2025,47,1,1625483,1374625.1,100,N (exempt),72,80,,A,Howard Fiddle (212) 984-6525 (p),,Financial District
1000400014,"48 Wall St, New York, NY 10005",Swig Equities,CBRE,2000,32,27,313918,259055,94.9,C,67,,71,A,Bevan Cohen (212) 895-0945 (p),,Financial District-Battery Park City
1000420031,"80 Maiden Lane, New York, NY 10038",Cannon Hill Capital Partners,CBRE,1986,25,1,527605,429598.1875,100,B,83,,73,B,Jonathan Cope (212) 618-7015 (p),,Financial District-Battery Park City
1000430001,"44 Wall St, New York, NY 10005",EQ Office,George Comfort & Sons,2006,24,45,289049,289049,56.6,A,86,,76,B,Alexander Bermingham (212) 542-2189 (p),,Financial District-Battery Park City
1000460001,"2 Wall St, New York, NY 10005",Fieldstone Capital,George Comfort & Sons,1986,21,17,173159,153090,98.8,N (exempt),57,98,,B,Alexander Bermingham (212) 542-2189 (p),,Financial District
1000460009,"14 Wall St, New York, NY 10005","Rovt, Alexander",CBRE,2006,32,71,1087770,814801,59.3,D,42,,65,A,Bradley Gerla (212) 984-7153 (p),LEED Platinum,Financial District-Battery Park City
1000480001,"140 Broadway, New York, NY 10005",Hines,Newmark,2020,50,78,1272119,1113972,84.2,B,79,69,,A,David Falk (212) 372-2271 (p),,Financial District-Battery Park City
1000490002,"111 Broadway, New York, NY 10006",Madison International Realty,Colliers,2004,22,100,450000,423593,86.8,B,79,,69,A,Aidan Campbell (212) 716-3825 (p),,Financial District-Battery Park City
1000500001,"115 Broadway, New York, NY 10006",Capital Properties,Colliers,1989,21,53,400000,374003,79.6,B,80,,71,A,Aidan Campbell (212) 716-3825 (p),LEED Platinum,Financial District-Battery Park City
1000510007,"76 Trinity Pl, New York, NY 10006",Trinity Church Wall Street,Trinity Church Wall Street,2017,27,1,281121,238952.85,100,N (exempt),45,,63,C,,,Midtown
1000640012,"150 Broadway, New York, NY 10038",JEMB,JLL,1986,23,92,276000,272517,84,A,93,,83,B,Andrew Coe (212) 812-6554 (p),,Financial District-Battery Park City
1000640015,"160 Broadway, New York, NY 10038",KF Braun,KF Braun,2018,16,75,150000,141000,82.1,A,87,,84,B,Mendy Braun (212) 349-2154 (p),,Financial District-Battery Park City
1000650007,"15 Maiden Lane, New York, NY 10038",Heller Properties,Heller Properties,2003,20,52,144200,123372,94.4,A,93,,89,B,Edny Medor (212) 964-3180 (p),,Financial District-Battery Park City
1000660001,"19 Liberty St, New York, NY 10038",Fosun International,JLL,2016,14,1,640000,640000,100,N (exempt),32,14,,A,Michael Berman (212) 418-2680 (p),,Financial District
1000670001,"59 Maiden Lane, New York, NY 10038",AmTrust Realty,AmTrust Realty,1988,44,57,1073000,1073000,97.4,B,70,,73,A,Anne Holker (646) 914-4404 (p),,Financial District-Battery Park City
1000680011,"75 Maiden Lane, New York, NY 10038",AM Property Holding,Newmark,2015,12,1,155026,131772.1,100,B,80,,76,A,,,Financial District-Battery Park City
1000750030,"111 John St, New York, NY 10038",KF Braun,KF Braun,2016,26,61,296076,251664.6,70,A,96,,89,B,Mendy Braun (212) 349-2154 (p),,Financial District-Battery Park City
1000770008,"110 William St, New York, NY 10038","Pacific Oak Capital Advisors, Invesco",Newmark,2011,31,46,788240,767504,100,N (exempt),78,85,,A,Hal Stein (212) 233-8185 (p),,Financial District-Battery Park City
1000880001,"217 Broadway, New York, NY 10007",Columbus Properties,CBRE,1999,10,12,133198,93739,61.2,B,71,,81,B,Bruce Surry (212) 618-7044 (p),,Financial District
1000880010,"30 Vesey St, New York, NY 10007",Greystone,Sinvin,2018,18,26,71959,68163,80.9,B,71,,91,B,James Costello (646) 673-8752 (p),,Tribeca-Civic Center
1000880018,"225 Broadway, New York, NY 10007",KF Braun,KF Braun,2015,45,100,480831,463700,69.1,A,92,,83,B,Mendy Braun (212) 349-2154 (p),,Tribeca-Civic Center
1000920024,"116 Nassau St, New York, NY 10038",Columbia University,Endurance Real Estate Advisors,2016,12,10,109173,93818,29.5,A,93,,86,B,,,Financial District
1000940025,"100 Gold St, New York, NY 10038",City of New York,DCAS,2019,10,1,655775,594000,100,B,84,,78,A,,,Midtown
1001190001,"1 Police Plaza, New York, NY 10038",City of New York,DCAS,2002,16,1,1000518,711424,100,D,37,,56,B,,,Midtown
1001210001,"1 Centre St, New York, NY 10013",City of New York,DCAS,2004,39,1,1056600,1056600,100,N (exempt),96,,86,A,,,Midtown
1001220001,"52 Chambers St, New York, NY 10007",City of New York,DCAS,2012,2,1,144016,52000,100,N (exempt),1,,30,A,,,Midtown
1001240004,"11 Park Pl, New York, NY 10128",Stahl Organization,Colliers,2004,18,64,205000,195200,79.8,C,67,,70,B,Michael Berger (212) 716-3643 (p),Energy Star,Midtown
1001270018,"255 Greenwich St, New York, NY 10007",Jack Resnick & Sons,Jack Resnick & Sons,2003,13,1,507000,467500,100,N (exempt),45,,58,A,Adam S. Rappaport (646) 253-3111 arappaport@resnicknyc.com,,Tribeca-Civic Center
1001480010,"71 Thomas St, New York, NY 10013",GFP Real Estate,Newmark,2016,7,3,100750,100750,100,B,86,,84,B,,,Midtown
1001530001,"280 Broadway, New York, NY 10007",City of New York,Walker Malloy,2017,7,5,242062,168492,100,A,92,,88,A,Rafe Evans (917) 701-4059 (p),,Tribeca-Civic Center
1001530024,"23 Chambers St, New York, NY 10007",City of New York,DCAS,2016,8.5,46,229824,212500,100,N (exempt),93,,85,A,,,Midtown
1001540023,"14 Reade St, New York, NY 10007",City of New York,DCAS,1961,7,6,71732,71732,100,A,86,,86,A,,,Midtown
1001550001,"2 Lafayette St, New York, NY 10007",City of New York,DCAS,2017,21,1,354169,341769,100,B,80,,70,B,,,Midtown
1001550003,"52 Duane St, New York, NY 10007",Benjamin Partners,CBRE,1985,10,3,103158,94058,73.3,A,85,,82,B,Jonathan Cope (212) 618-7015 (p),,Tribeca-Civic Center
1001680032,"75 Centre St, New York, NY 10013",City of New York,DCAS,2008,10,10,353000,353000,95.7,A,87,,76,A,,,Midtown
1001940042,"60 Walker St, New York, NY 10013",Vornado Realty Trust,Vornado Realty Trust,1989,26,171,230139,223139,91.1,B,84,85,,B,,,Midtown
1001960005,"408 Broadway, New York, NY 10013",United American Land Company,Newmark,2008,6,13,56210,46210,27.1,N (exempt),34,,59,B,,,Tribeca-Civic Center
1002210030,"200 Hudson St, New York, NY 10013",Hines,Tungsten Property,1982,12,23,328415,313192,97.1,A,73,75,,B,Frank Reiser (914) 714-0444 (p),,Tribeca
1002320001,"434 Broadway, New York, NY 10013",MC Real Estate Partners,Newmark,2017,9,6,52065,26349,100,B,64,,80,B,Matthew Augarten (212) 372-2388 (p),,Financial District
1004730001,"462 Broadway, New York, NY 10013",Vornado Realty Trust,Himmel + Meringoff,2018,6,9,141050,100900,86.4,B,86,,80,B,Adam Weissleder (212) 337-7763 (p),,Financial District
1004740030,"483 Broadway, New York, NY 10013",Vornado Realty Trust,Newmark,2019,5,5,57305,35057,100,C,69,90,,B,JD Cohen (212) 850-5476 (p),,Financial District
1004820016,"72 Spring St, New York, NY 10012",Heller Properties,Newmark,2016,12,15,130000,101587,91.2,A,85,,85,B,Nathan Kropp (212) 372-2056 (p),,SoHo-Little Italy-Hudson Square
1004860011,"84 Wooster St, New York, NY 10012",Stellar Management,Stellar Management,1982,7,25,65972,46552,61.9,A,89,,90,B,,,SoHo-Little Italy-Hudson Square
1004960036,"71 Spring St, New York, NY 10012",United American Land Company,Newmark,2024,6,1,56340,46740,100,C,68,,79,B,Howard Hersch (212) 655-0626 (p),,SoHo-Little Italy-Hudson Square
1004960040,"75 Spring St, New York, NY 10012",Greystone,Sinvin,2023,9,10,54800,49200,100,A,99,,100,B,,,SoHo-Little Italy-Hudson Square
1004970001,"530 Broadway, New York, NY 10012",Wharton Properties,Newmark,2023,11,35,169983,156619,95.3,A,90,,86,A,Howard Hersch (212) 655-0626 (p),,SoHo-Little Italy-Hudson Square
1004980009,"557 Broadway, New York, NY 10012",Vornado Realty Trust,Cushman & Wakefield,1999,10,2,112500,108490,100,N (exempt),39,55,,A,Alex Lachmund (212) 841-7755 (p),,Financial District
1004980011,"549 Broadway, New York, NY 10012",Vornado Realty Trust,Cast Iron,2024,12,6,243442,217958,83.5,N (exempt),77,75,,A,Beth Chase (212) 226-8576 (p),,Financial District
1004990007,"104 Greene St, New York, NY 10012",SL Green Realty,SL Green Realty,2015,13,112,201002,164380,97.8,N (exempt),92,89,,A,,,SoHo-Little Italy-Hudson Square
1005000011,"120 Wooster St, New York, NY 10012",120 Wooster,Sinvin,1988,6,16,52526,43772,80.4,B,70,,85,B,Christopher Owles (212) 604-9002 (p),,SoHo-Little Italy-Hudson Square
1005050036,"161 Ave Of The Americas, New York, NY 10013",Imperium,CBRE,2014,13,1,255000,522840.95,100,D,12,,33,A,Brett Shannon (212) 984-8188 (p),,SoHo-Little Italy-Hudson Square
1005100001,"63 Prince St, New York, NY 10012",Bromley Companies,Boymelgreen,2009,15,1,178459,154913,100,A,99,,94,B,,,SoHo-Little Italy-Hudson Square
1005100038,"298 Lafayette St, New York, NY 10012",Kushner Companies,CBRE,2004,16,1,59757,48750,100,A,90,,94,A,Sacha Zarba (212) 984-8317 (p),,SoHo-Little Italy-Hudson Square
1005110001,"568 Broadway, New York, NY 10012",Aurora Capital Associates,Prince Building Management,2024,12,93,332256,227536,48.9,C,63,,69,A,Bonnie Shapiro (212) 219-0688 (p),,SoHo-Little Italy-Hudson Square
1005110006,"580 Broadway, New York, NY 10012",A.R.I Investors,Newmark,2023,12,13,127597,117597,100,B,81,,72,A,Howard Hersch (212) 655-0626 (p),,SoHo-Little Italy-Hudson Square
1005110008,"584 Broadway, New York, NY 10012",Vornado Realty Trust,Olmstead Properties,2014,12,101,254822,74580,80.5,A,96,,88,A,Steven Marvin (212) 564-2141 (p),,Financial District
1005110012,"592 Broadway, New York, NY 10012",Vornado Realty Trust,ABS Partners,2014,12,96,231840,216817,92.1,A,90,,83,B,James Caseley (212) 400-6075 (p),,Financial District
1005120015,"591 Broadway, New York, NY 10012",GFP Real Estate,GFP Real Estate,2013,6,15,62536,47536,98,N (exempt),85,85,,B,Neith Stone (917) 854-5116 (p),,Financial District
1005220001,"610 Broadway, New York, NY 10012",Macklowe Management,JLL,2016,6,1,122200,76500,100,D,46,45,,A,Barbara Winter (212) 812-5990 (p),,Financial District
1005230046,"625 Broadway, New York, NY 10012",Lincoln Property,Kaufman Organization,2013,12,13,78958,73120,100,D,32,,55,B,Jared Sternberg (212) 471-4352 (p),,Financial District
1005300001,"670 Broadway, New York, NY 10012",Wings Group,Sinvin,2016,5,3,66905,32291,93.2,D,5,,49,B,Christopher Owles (212) 604-9002 (p),,Greenwich Village
1005310020,"383 Lafayette St, New York, NY 10003",NYU,Del Realty,2015,4,4,67964,64347,100,A,90,90,,B,Ed Candler (212) 674-3332 (p),,Greenwich Village
1005320015,"661 Broadway, New York, NY 10012",Continental East,Cushman & Wakefield,2007,12,42,162693,130000,100,N (exempt),60,,74,B,John Peters (212) 841-7510 (p),,Greenwich Village
1005440008,"409 Lafayette St, New York, NY 10003",Himmel + Meringoff,JLL,1988,6,7,97020,82669,100,A,83,75,,B,Corey Zolcinski (212) 812-5707 (p),,Midtown
1005450006,"708 Broadway, New York, NY 10003",NYU,Weitz,2018,10,1,127143,108071.55,100,N (exempt),45,,66,B,Gary Klein (212) 558-5500 (p),,Financial District
1005450015,"726 Broadway, New York, NY 10003",NYU,NYU,2014,10,1,349011,286148.25,100,N (exempt),30,,56,B,,,Greenwich Village
1005450053,"400 Lafayette St, New York, NY 10003",NYU,ABS Partners,2014,5,1,93048,79090.8,100,N (exempt),75,,75,B,James Caseley (212) 400-6075 (p),,Midtown
1005460021,"19 W 4Th St, New York, NY 10012",NYU,Newmark,2007,8,1,100628,85533.8,100,N (exempt),60,,65,B,William Grover (212) 372-2188 (p),,Greenwich Village
1005460026,"21 W 4th St, New York, NY 10012",NYU,Avison Young,2018,6,1,56684,48181.4,100,N (exempt),85,,85,B,John Ryan (212) 729-4971 (p),,Greenwich Village
1005480009,"13 University Pl, New York, NY 10003",NYU,NYU,2000,6,4,55224,50185,100,N (exempt),30,,66,B,,,Greenwich Village
1005540001,"770 Broadway, New York, NY 10001",Vornado Realty Trust,Vornado Realty Trust,2016,15,27,1089849,720000,100,B,76,,70,A,Edward Hogan (212) 894-7988 (p),,Greenwich Village
1005590016,"124 E 14th St, New York, NY 10003",City of New York,JLL,2020,22,1,230591,196002.35,100,D,36,,61,A,Kristen Morgan (212) 812-6043 (p),,East Village
1005630001,"83 University Pl, New York, NY 10003",CIM Group,JLL,2022,12,44,220000,203076,39.5,B,74,,76,B,Joseph Sipala (212) 812-6467 (p),,Greenwich Village
1005630031,"817 Broadway, New York, NY 10003",Squire Investments,Newmark,2019,14,15,115000,107883,93.2,C,60,,71,A,Daniel Levine (212) 372-2319 (p),Energy Star,Greenwich Village
1005630046,"57 E 11th St, New York, NY 10003",Winter Organization,JLL,2019,11,1,57585,52412,100,A,94,,93,B,,,Greenwich Village
1005650015,"849 Broadway, New York, NY 10003",Feil Organization,Feil Organization,2004,21,180,272925,193627,94.1,N (exempt),51,,55,A,Robert Fisher (212) 563-6557 (p),,Greenwich Village
1005760046,"60 5 Ave, New York, NY 10011",NYU,NYU,2015,8,1,121054,96475,100,N (exempt),30,,56,B,,,Greenwich Village
1005770034,"8 W 14th St, New York, NY 10011",Soloviev Group,Douglas Elliman,2001,6,6,120025,110000,90,A,99,,86,A,Louis Puopolo (212) 776-4367 (p),,Greenwich Village
1005780047,"250 Hudson St, New York, NY 10013",Jack Resnick & Sons,Jack Resnick & Sons,2011,14,20,332960,323600,65.8,A,91,,81,A,Adam Rappaport (646) 253-3111 (p),,SoHo-Little Italy-Hudson Square
1005810063,"225 Varick St, New York, NY 10014",Hines,CBRE,2015,12,33,299592,292116,79.4,B,54,75,,B,Neil King (212) 984-8352 (p),,Midtown
1005970001,"515 Greenwich St, New York, NY 10013",Trinity Church Wall Street,CBRE,2012,5,9,59615,49615,18.4,B,75,,75,A,,,Tribeca
1005970012,"78 Vandam St, New York, NY 10013",Jack Resnick & Sons,Jack Resnick & Sons,2016,10,14,427972,366584,90.1,A,93,90,,A,,,SoHo-Little Italy-Hudson Square
1005970062,"323 Hudson St, New York, NY 10013",Divco West Services,CBRE,2016,10,39,193813,164741.05,75.4,A,87,,98,B,Paul Amrich (212) 984-8122 (p),Energy Star; LEED Gold,SoHo-Little Italy-Hudson Square
1005990064,"375 Hudson St, New York, NY 10014",Trinity Church Wall Street,CBRE,2014,18,6,1076164,910823,93.5,A,85,75,,A,Neil King (212) 984-8352 (p),,Tribeca
1006010047,"120 Leroy St, New York, NY 10014",Centaur Properties,Newmark,2018,9,9,118000,118000,97.9,D,18,,53,B,,,West Village
1006020068,"435 Hudson St, New York, NY 10014",Hines,Hudson Square Properties,2017,9,26,245330,232530,100,C,50,77,,B,,LEED Gold,Tribeca
1006090007,"154 W 14th St, New York, NY 10011",Abner Properties,Koeppel Rosen,2016,12,13,140044,134044,72.5,A,90,,89,C,Max Koeppel (212) 249-1855 (p),,Greenwich Village
1006450029,"416 W 13th St, New York, NY 10014",Greenway Mews Realty,Avison Young,2014,3,14,144000,122400,56,B,78,,72,A,Joseph Gervino (212) 858-0798 (p),,Greenwich Village
1006460001,"40 10 Ave, New York, NY 10034",Aurora Capital Associates,Aurora Capital Associates,2017,12,9,158847,100809,100,D,14,,52,A,Jake Bank (212) 789-7117 (p),,West Village
1006460019,"860 Washington St, New York, NY 10014",Meadow Partners,CBRE,2011,10,8,122098,106239,88.4,D,48,62,,A,Paul Amrich (212) 984-8122 (p),,West Village
1006460027,"428 W 14th St, New York, NY 10014",Rockpoint,CBRE,2017,5,49,53658,43152,91.5,D,39,,68,B,Neil King (212) 984-8352 (p),,West Village
1006720001,"601 W 26th St, New York, NY 10001",Blackstone,CBRE,2023,19,264,1925012,1814700,57.4,A,89,86,,B,Evan Haskell (212) 984-8049 (p),,Chelsea-Hudson Yards
1006980001,"244 11 Ave, New York, NY 10001",Vornado Realty Trust,Vornado Realty Trust,1983,7,1,174186,131268.05,100,A,9,,39,B,,,Chelsea-Hudson Yards
1007120029,"47 9 Ave, New York, NY 10011","Tavros Capital Partners, Arel",Newmark,2024,4,10,62199,36092,17.9,D,20,,60,A,Howard Hersch (212) 655-0626 (p),,Chelsea-Hudson Yards
1007130001,"75 9 Ave, New York, NY 10011",Google,Newmark,2015,8,167,1100533,901426,100,N (exempt),30,75,,B,,Energy Star; LEED Gold,Chelsea
1007280060,"442 W 31st St, New York, NY 10001",450 West 31st Ownrscp,CBRE,2016,12,15,119996,112146,90.5,A,92,85,,B,Patrick Moroney (212) 984-6597 (p),,Chelsea-Hudson Yards
1007390001,"111 8 Ave, New York, NY 10011",Google,CBRE,2019,17,133,2161994,1595459,100,N (exempt),30,,49,A,Kenneth Rapp (212) 984-7171 (p),,Chelsea
1007570054,"330 W 34th St, New York, NY 10001",Vornado Realty Trust,Vornado Realty Trust,2014,18,1,618653,549494.4,100,A,86,,79,A,Josh Glick (212) 894-7413 (p),,Chelsea-Hudson Yards
1007580082,"440 9 Ave, New York, NY 10001",SL Green Realty,CBRE,1999,18,33,384610,327596,96.2,A,86,,77,A,,,Chelsea-Hudson Yards
1007590045,"519 8 Ave, New York, NY 10018",Kaufman Organization,Kaufman Organization,2007,25,35,330291,306591,75.7,A,86,,79,B,Sam Stein (212) 471-4317 (p),,Chelsea-Hudson Yards
1007600032,"307 W 36th St, New York, NY 10018",GFP Real Estate,GFP Real Estate,2019,18,20,232458,205254,90.2,A,85,,80,B,,,Garment District
1007600055,"320 W 37th St, New York, NY 10018",Sioni Group,LSL Advisors,1989,15,1,109885,92000,100,A,90,,82,B,Daniel Lolai (212) 278-8071 (p),,Chelsea-Hudson Yards
1007610033,"545 8 Ave, New York, NY 10018",Global Holdings Management,Global Holdings Management,1986,23,58,169596,164478,91.9,A,91,,88,B,Alexander Radmin (347) 745-8251 (p),,Chelsea-Hudson Yards
1007620033,"575 8 Ave, New York, NY 10018",Olmstead Properties,Olmstead Properties,2009,23,41,224400,197400,88.5,B,73,,83,B,Daniel Breiman (212) 564-4115 (p),,Chelsea
1007620050,"318 W 39th St, New York, NY 10018",GFP Real Estate,GFP Real Estate,2015,12,12,156508,152946,88.1,A,91,,87,B,,,Garment District
1007630024,"315 W 39th St, New York, NY 10018",Handler Real Estate Services,Handler Real Estate Services,2008,16,137,132684,117821,98.6,B,85,,80,B,Darell Handler (646) 597-6171 (p),,Garment District
1007660061,"230 W 17th St, New York, NY 10011",Carnegie Hill Properties,Cushman & Wakefield,1999,8,8,53168,53168,62.7,F,100,,98,B,Stephen Riker (212) 318-9797 (p),,Chelsea
1007760059,"236 W 27th St, New York, NY 10001",Rosen Equities,Koeppel Rosen,2001,15,1,94331,80181.35,100,B,74,,88,C,Max Koeppel (212) 249-1855 (p),,Midtown South-Flatiron-Union Square
1007780020,"239 W 28th St, New York, NY 10001",Lexin,Lexin,2021,12,10,156500,137500,62.9,A,89,,87,B,Aaron Marcus (212) 750-3049 (p),,Midtown South-Flatiron-Union Square
1007780036,"322-326 7Th Ave, New York, NY 10001",GFP Real Estate,GFP Real Estate,2020,12,1,87620,74477,100,C,55,,67,B,Allen Gurevich (212) 609-7141 (p),,East Village
1007780043,"330 7 Ave, New York, NY 10001",GFP Real Estate,GFP Real Estate,2004,21,1,217084,217084,100,B,71,55,,B,Alphie Toro (212) 372-2183 (p),,Garment District
1007790013,"241 W 29th St, New York, NY 10001",Rosen Equities,Koeppel Rosen,1991,17,27,106960,87500,57.8,B,82,,83,C,Max Koeppel (212) 249-1855 (p),,Midtown South-Flatiron-Union Square
1007790017,"231 W 29th St, New York, NY 10001",Kaufman Organization,Kaufman Organization,1992,15,14,144323,135323,98.6,N (exempt),75,90,,C,Sam Stein (212) 471-4317 (p),,Garment District
1007790041,"352 7 Ave, New York, NY 10001",AM Property Holding,Newmark,1989,16,19,127488,121004,90.3,D,52,,63,B,JD Cohen (212) 850-5476 (p),,Midtown South-Flatiron-Union Square
1007790057,"224 W 30th St, New York, NY 10001",Starpointe Management,Okada & Company,1989,14,65,142801,132801,90,A,94,,96,B,Hiro Iwata (212) 244-4240 (p),,Midtown South-Flatiron-Union Square
1007790075,"400 8 Ave, New York, NY 10001",Himmel + Meringoff,Himmel + Meringoff,2020,8,1,75876,70506,100,D,59,53,,B,Adam Weissleder (212) 337-7763 (p),,Midtown South-Flatiron-Union Square
1007800010,"251 W 30th St, New York, NY 10001",Justin Towers,Resolution Real Estate,2017,16,38,104199,81972,88.1,A,86,,83,B,,,Midtown South-Flatiron-Union Square
1007800013,"247 W 30th St, New York, NY 10001",SYU Properties,Okada & Company,1988,16,20,64625,50747,96,B,83,85,,B,Thomas Capuano (212) 244-4240 (p),,Midtown South-Flatiron-Union Square
1007800036,"370 7 Ave, New York, NY 10001",Brookfield,Brookfield,2022,17,1,416321,282525.55,100,N (exempt),60,,64,A,,Energy Star; LEED Gold,Midtown South-Flatiron-Union Square
1007800071,"254 W 31st St, New York, NY 10001",Winoker Realty,Lee & Associates,2023,15,15,65977,59013,100,C,67,,79,B,Todd Korren (212) 776-1283 (p),,Garment District
1007830070,"250 W 34th St, New York, NY 10119",Vornado Realty Trust,Vornado Realty Trust,2023,57,451,2336771,2155372,84.5,C,65,,70,B,,,Midtown South-Flatiron-Union Square
1007840041,"450 7 Ave, New York, NY 10123",Kaufman Organization,Kaufman Organization,1987,46,252,491253,491253,95.5,A,88,,79,B,Sam Stein (212) 471-4317 (p),,Midtown-Times Square
1007840051,"212 W 35th St, New York, NY 10001",Kaufman Organization,Kaufman Organization,1965,16,18,84768,84768,86.7,A,96,,100,C,Sam Stein (212) 471-4317 (p),,Midtown-Times Square
1007840060,"224 W 35th St, New York, NY 10101",Gatsby,Bullaro Properties Realty Services,2017,17,1,156320,121930.8,100,A,89,,100,C,James Bullaro (917) 270-8360 (p),,Midtown-Times Square
1007840064,"240 W 35th St, New York, NY 10001",MetLife,Lee & Associates,2009,17,35,165258,116233,52.8,F,79,,80,B,Todd Korren (212) 776-1283 (p),,Midtown-Times Square
1007850037,"462 7 Ave, New York, NY 10018",Kaufman Organization,Kaufman Organization,2015,23,24,189734,189734,95.3,A,88,,85,B,Michael Heaner (212) 471-4310 (p),,Midtown-Times Square
1007850041,"470 7 Ave, New York, NY 10018",Kaufman Organization,Kaufman Organization,2002,12,10,84575,77809,100,C,66,,86,C,Michael Heaner (212) 471-4310 (p),,Midtown-Times Square
